Latitude (º),Longitude (º),Month,Day,Year,Non-adjusted plastic concentration (items km-2)  ,Pieces<5mm/km^2,Pieces>5mm/km^2,Total Weight (g)/km^2,Weight (g) <5mm/ km^2,Weight (g) >5mm/km^2,Source,Note,,,,,,,,,,,
33.47,28.08,5,15,2013,119134,,,485.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^20,,,,,,,,,,,
33.09,31.76,5,16,2013,89340,,,134.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^21,,,,,,,,,,,
33.22,31.98,5,17,2013,167390,,,201.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^22,,,,,,,,,,,
34.23,33.23,5,17,2013,42053,,,91.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^23,,,,,,,,,,,
35.38,25.47,5,19,2013,159724,,,435.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^24,,,,,,,,,,,
35.70,23.42,5,21,2013,41893,,,74.6,,,Cozar,Maybe we can take the wind from the difference in the g/km^25,,,,,,,,,,,
36.40,20.81,5,21,2013,42911,,,52.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^26,,,,,,,,,,,
41.84,17.25,5,23,2013,57585,,,267.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^27,,,,,,,,,,,
40.23,18.83,5,25,2013,17179,,,18.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^28,,,,,,,,,,,
39.07,18.70,5,25,2013,5631,,,3.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^29,,,,,,,,,,,
37.80,18.51,5,25,2013,88220,,,250.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^30,,,,,,,,,,,
37.82,15.50,5,26,2013,27637,,,23.0,,,Cozar,Maybe we can take the wind from the difference in the g/km^31,,,,,,,,,,,
38.85,14.89,5,27,2013,28206,,,41.8,,,Cozar,Maybe we can take the wind from the difference in the g/km^32,,,,,,,,,,,
39.83,12.51,5,27,2013,35704,,,73.7,,,Cozar,Maybe we can take the wind from the difference in the g/km^33,,,,,,,,,,,
39.82,12.53,5,27,2013,47087,,,113.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^34,,,,,,,,,,,
41.33,7.45,5,29,2013,8288,,,14.1,,,Cozar,Maybe we can take the wind from the difference in the g/km^35,,,,,,,,,,,
41.31,5.66,5,29,2013,81632,,,405.4,,,Cozar,Maybe we can take the wind from the difference in the g/km^36,,,,,,,,,,,
41.32,5.66,5,29,2013,112095,,,304.9,,,Cozar,Maybe we can take the wind from the difference in the g/km^37,,,,,,,,,,,
40.07,5.95,5,30,2013,64231,,,64.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^38,,,,,,,,,,,
40.08,5.93,5,30,2013,45122,,,126.3,,,Cozar,Maybe we can take the wind from the difference in the g/km^39,,,,,,,,,,,
40.95,3.32,5,31,2013,412037,,,1628.5,,,Cozar,Maybe we can take the wind from the difference in the g/km^40,,,,,,,,,,,
40.95,3.32,5,31,2013,54096,,,135.2,,,Cozar,Maybe we can take the wind from the difference in the g/km^41,,,,,,,,,,,
